Loading DQN checkpoint from pre_training/rules_bot/pretrained_agent.pth...
/Users/aidanperuch/Code/five_hundred/five_hundred/ppo_agent.py:303: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  dqn_checkpoint = torch.load(dqn_path, map_location=device)
Transferring shared trunk...
Transferring actor heads...
✅ Weight transfer complete!
⚠️  Critic heads initialized randomly (no DQN equivalent)
Update 236/7812: Reward=-771.517, SPS=155
Update 237/7812: Reward=-767.037, SPS=155
Update 238/7812: Reward=-714.552, SPS=155
Update 239/7812: Reward=-738.081, SPS=155
Update 240/7812: Reward=-756.086, SPS=155
Update 241/7812: Reward=-738.725, SPS=155
Update 242/7812: Reward=-688.586, SPS=155
Update 243/7812: Reward=-732.157, SPS=155
Update 244/7812: Reward=-757.104, SPS=155
Update 245/7812: Reward=-707.937, SPS=155
Update 246/7812: Reward=-750.753, SPS=156
Update 247/7812: Reward=-752.567, SPS=156
Update 248/7812: Reward=-745.832, SPS=155
Update 249/7812: Reward=-735.450, SPS=155
Update 250/7812: Reward=-762.009, SPS=156
Update 251/7812: Reward=-788.512, SPS=156
Update 252/7812: Reward=-712.424, SPS=156
Update 253/7812: Reward=-706.138, SPS=156
Update 254/7812: Reward=-755.135, SPS=156
Update 255/7812: Reward=-713.227, SPS=156
Update 256/7812: Reward=-685.192, SPS=156
Update 257/7812: Reward=-725.534, SPS=156
Update 258/7812: Reward=-750.772, SPS=156
Update 259/7812: Reward=-701.868, SPS=156
Update 260/7812: Reward=-721.066, SPS=156
Update 261/7812: Reward=-779.278, SPS=156
Update 262/7812: Reward=-712.857, SPS=156
Update 263/7812: Reward=-694.556, SPS=156
Update 264/7812: Reward=-743.382, SPS=156
Update 265/7812: Reward=-763.123, SPS=156
Update 266/7812: Reward=-728.295, SPS=156
Update 267/7812: Reward=-724.997, SPS=156
Update 268/7812: Reward=-727.615, SPS=156
Update 269/7812: Reward=-713.940, SPS=156
Update 270/7812: Reward=-677.289, SPS=156
Update 271/7812: Reward=-725.120, SPS=156
Update 272/7812: Reward=-732.939, SPS=156
Update 273/7812: Reward=-723.572, SPS=156
Update 274/7812: Reward=-725.798, SPS=156
Update 275/7812: Reward=-731.887, SPS=156
Update 276/7812: Reward=-715.974, SPS=156
Update 277/7812: Reward=-683.048, SPS=156
Update 278/7812: Reward=-726.621, SPS=156
Update 279/7812: Reward=-729.815, SPS=156
Update 280/7812: Reward=-726.970, SPS=156
Update 281/7812: Reward=-731.329, SPS=156
Update 282/7812: Reward=-742.509, SPS=156
Update 283/7812: Reward=-735.342, SPS=156
Update 284/7812: Reward=-698.232, SPS=157
Update 285/7812: Reward=-750.099, SPS=157
Update 286/7812: Reward=-743.010, SPS=157
Update 287/7812: Reward=-719.492, SPS=157
Update 288/7812: Reward=-721.674, SPS=157
Update 289/7812: Reward=-768.263, SPS=157
Update 290/7812: Reward=-749.125, SPS=157
Update 291/7812: Reward=-725.004, SPS=157
Update 292/7812: Reward=-760.013, SPS=157
Update 293/7812: Reward=-788.915, SPS=157
Update 294/7812: Reward=-711.203, SPS=157
Update 295/7812: Reward=-737.975, SPS=157
Update 296/7812: Reward=-762.256, SPS=157
Update 297/7812: Reward=-751.775, SPS=157
Update 298/7812: Reward=-716.754, SPS=157
Update 299/7812: Reward=-721.642, SPS=157
Update 300/7812: Reward=-737.404, SPS=157
Update 301/7812: Reward=-689.558, SPS=157
Update 302/7812: Reward=-692.976, SPS=157
Update 303/7812: Reward=-756.859, SPS=157
