Resuming from LATEST checkpoint: checkpoints/ppo_latest.pth
/Users/aidanperuch/Code/five_hundred/training/train_ppo.py:74: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(latest_path, map_location=device)
Resuming at Step 172800 (Update 338)
Update 466/1953: Reward=-156.896, SPS=706, OffWin=0.48, DefWin=0.89
Update 467/1953: Reward=-193.722, SPS=702, OffWin=0.22, DefWin=1.00
Update 468/1953: Reward=-171.052, SPS=698, OffWin=0.32, DefWin=0.94
Update 469/1953: Reward=-177.845, SPS=693, OffWin=0.31, DefWin=0.90
Update 470/1953: Reward=-203.416, SPS=689, OffWin=0.23, DefWin=1.00
Update 471/1953: Reward=-187.017, SPS=685, OffWin=0.26, DefWin=1.00
Update 472/1953: Reward=-191.828, SPS=681, OffWin=0.32, DefWin=0.90
Update 473/1953: Reward=-219.466, SPS=677, OffWin=0.16, DefWin=1.00
Step 30/32
Traceback (most recent call last):
  File "/Users/aidanperuch/Code/five_hundred/training/train_ppo.py", line 415, in <module>
  File "/Users/aidanperuch/Code/five_hundred/training/train_ppo.py", line 314, in train
    _, newlogprob, entropy, newvalue = policy.get_action_and_value(
  File "/Users/aidanperuch/Code/five_hundred/five_hundred/ppo_agent.py", line 112, in get_action_and_value
    probs = Categorical(logits=logits)
  File "/usr/local/Caskroom/miniforge/base/lib/python3.10/site-packages/torch/distributions/categorical.py", line 72, in __init__
    super().__init__(batch_shape, validate_args=validate_args)
