Loading DQN checkpoint from pre_training/rules_bot/pretrained_agent.pth...
/Users/aidanperuch/Code/five_hundred/five_hundred/ppo_agent.py:303: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  dqn_checkpoint = torch.load(dqn_path, map_location=device)
Transferring shared trunk...
Transferring actor heads...
✅ Weight transfer complete!
⚠️  Critic heads initialized randomly (no DQN equivalent)
Update 114/7812: Reward=-246.442, SPS=149, OffWin=0.00, DefWin=0.00
Update 115/7812: Reward=-139.233, SPS=149, OffWin=0.60, DefWin=0.00
Update 116/7812: Reward=-224.627, SPS=150, OffWin=0.14, DefWin=0.00
Update 117/7812: Reward=-161.433, SPS=150, OffWin=0.50, DefWin=0.00
Update 118/7812: Reward=-150.958, SPS=150, OffWin=0.50, DefWin=0.00
Update 119/7812: Reward=-181.595, SPS=150, OffWin=0.29, DefWin=0.00
Update 120/7812: Reward=-224.302, SPS=150, OffWin=0.17, DefWin=0.00
Update 121/7812: Reward=-136.663, SPS=151, OffWin=0.40, DefWin=0.00
Update 122/7812: Reward=-218.035, SPS=151, OffWin=0.25, DefWin=0.00
Update 123/7812: Reward=-245.169, SPS=151, OffWin=0.33, DefWin=0.00
Update 124/7812: Reward=-149.977, SPS=151, OffWin=0.75, DefWin=0.00
Update 125/7812: Reward=-178.127, SPS=151, OffWin=0.33, DefWin=0.00
Update 126/7812: Reward=-73.023, SPS=152, OffWin=0.67, DefWin=0.00
Update 127/7812: Reward=-241.674, SPS=152, OffWin=0.14, DefWin=0.00
Update 128/7812: Reward=-148.494, SPS=152, OffWin=0.50, DefWin=0.00
Update 129/7812: Reward=-231.669, SPS=152, OffWin=0.00, DefWin=0.00
Update 130/7812: Reward=-205.603, SPS=152, OffWin=0.17, DefWin=0.00
Update 131/7812: Reward=-161.328, SPS=153, OffWin=0.00, DefWin=0.00
Update 132/7812: Reward=-225.920, SPS=153, OffWin=0.17, DefWin=0.00
Update 133/7812: Reward=-200.323, SPS=153, OffWin=0.33, DefWin=0.00
Update 134/7812: Reward=-195.718, SPS=153, OffWin=0.20, DefWin=0.00
Update 135/7812: Reward=-218.304, SPS=153, OffWin=0.40, DefWin=0.00
Update 136/7812: Reward=-248.509, SPS=153, OffWin=0.00, DefWin=0.00
Update 137/7812: Reward=-196.376, SPS=153, OffWin=0.33, DefWin=0.00
Update 138/7812: Reward=-224.934, SPS=153, OffWin=0.29, DefWin=0.00
Update 139/7812: Reward=-89.215, SPS=153, OffWin=1.00, DefWin=0.00
Update 140/7812: Reward=-183.777, SPS=153, OffWin=0.20, DefWin=0.00
Update 141/7812: Reward=-198.796, SPS=153, OffWin=0.25, DefWin=0.00
Update 142/7812: Reward=-153.042, SPS=153, OffWin=0.57, DefWin=0.00
Update 143/7812: Reward=-231.284, SPS=153, OffWin=0.17, DefWin=0.00
Update 144/7812: Reward=-250.992, SPS=154, OffWin=0.20, DefWin=0.00
Update 145/7812: Reward=-269.965, SPS=154, OffWin=0.17, DefWin=0.00
Update 146/7812: Reward=-277.147, SPS=154, OffWin=0.00, DefWin=0.00
Update 147/7812: Reward=-181.660, SPS=154, OffWin=0.60, DefWin=0.00
Update 148/7812: Reward=-239.276, SPS=154, OffWin=0.20, DefWin=0.00
Update 149/7812: Reward=-268.991, SPS=155, OffWin=0.43, DefWin=0.00
Update 150/7812: Reward=-235.881, SPS=155, OffWin=0.29, DefWin=0.00
Update 151/7812: Reward=-193.045, SPS=155, OffWin=0.40, DefWin=0.00
Update 152/7812: Reward=-189.864, SPS=155, OffWin=0.50, DefWin=0.00
Update 153/7812: Reward=-194.461, SPS=155, OffWin=0.29, DefWin=0.00
Update 154/7812: Reward=-201.761, SPS=155, OffWin=0.40, DefWin=0.00
Update 155/7812: Reward=-293.309, SPS=155, OffWin=0.00, DefWin=0.00
